fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,29.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Tucumán,Mujer,61.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-01,Neuquén,Mujer,30.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Jujuy,Mujer,22.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Santa Fe,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Tucumán,Mujer,48.0,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,25.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,31.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,
2022-01-01,Buenos Aires,Mujer,28.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,San Luis,Mujer,42.0,Argentina,Si,Si,No,No,Si,No,No,Si,No,No,No,No,Superior jerarquico,Varon
2022-01-01,Buenos Aires,Mujer,25.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Cordoba,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Río Negro,Mujer,22.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,27.0,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-01,Santa Fe,Mujer,33.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,66.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,35.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,36.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,33.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,La Rioja,Mujer,24.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,28.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,27.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,49.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-01,Buenos Aires,Mujer,24.0,Argentina,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,39.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,27.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,30.0,Colombiana,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,41.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,37.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,37.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,35.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,94.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Mujer
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,55.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-01,,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,69.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-02,Santa Fe,Mujer,25.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Jujuy,Mujer,22.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Cordoba,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Tucumán,Mujer,36.0,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,25.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Cordoba,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Chaco,Mujer,66.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
2022-01-02,San Juan,Mujer,52.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Mendoza,Mujer,35.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,42.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Santa Fe,Mujer,44.0,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,
2022-01-02,Buenos Aires,Mujer,29.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Misiones,Mujer,27.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,30.0,Paraguaya,No,Si,No,No,Si,No,No,No,No,No,No,No,Otro,
2022-01-02,Buenos Aires,Mujer,35.0,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Tucumán,Mujer,24.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,58.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Jujuy,Mujer,20.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,27.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Santa Fe,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,24.0,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Otro,Varon
2022-01-02,Tucumán,Mujer,28.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,34.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,68.0,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Río Negro,Mujer,42.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Santa Fe,Mujer,24.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,42.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,San Juan,Mujer,39.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,47.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Corrientes,Mujer,30.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Mendoza,Mujer,51.0,,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,La Rioja,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,20.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,34.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,45.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,34.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,43.0,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,39.0,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,31.0,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,14.0,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,26.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,29.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,26.0,Argentina,No,Si,No,Si,Si,Si,Si,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,59.0,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,33.0,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,40.0,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,,Mujer,,,Si,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,39.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,,
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,30.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,52.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Buenos Aires,Mujer,40.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,85.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Buenos Aires,Mujer,45.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,50.0,Peruana,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,30.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,47.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,35.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,34.0,Argentina,No,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-02,Ciudad Autónoma de Buenos Aires,Mujer,54.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
2022-01-02,Buenos Aires,Mujer,54.0,Argentina,No,No,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2022-01-03,Buenos Aires,Mujer,26.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Buenos Aires,Mujer,44.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,27.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Chubut,Mujer,12.0,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Otro,
2022-01-03,Neuquén,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Santa Fe,Mujer,34.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-03,Buenos Aires,Mujer,,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Chaco,Mujer,29.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,,
2022-01-03,Salta,Mujer,38.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,La Rioja,Mujer,27.0,,No,No,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Buenos Aires,Mujer,49.0,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Mendoza,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Tucumán,Mujer,27.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,36.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,35.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,42.0,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Mendoza,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Mendoza,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Río Negro,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Padre o tutor,
2022-01-03,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Mendoza,Mujer,24.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,21.0,Argentina,No,No,No,No,Si,No,No,No,No,No,No,No,,
2022-01-03,Mendoza,Mujer,41.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,35.0,Paraguaya,No,Si,No,No,No,No,No,No,No,No,No,No,,
2022-01-03,Buenos Aires,Mujer,33.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Cordoba,Mujer,56.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2022-01-03,Buenos Aires,Mujer,57.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Santiago Del Estero,Mujer,25.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,33.0,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,18.0,Argentina,No,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,67.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-03,Buenos Aires,Mujer,41.0,,No,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,35.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,32.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-03,Buenos Aires,Mujer,41.0,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,20.0,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,64.0,Argentina,No,Si,No,Si,Si,No,No,No,No,No,No,No,Otro,Varon
2022-01-03,Buenos Aires,Mujer,28.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,38.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,34.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,28.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-03,Buenos Aires,Mujer,21.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,20.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-03,Buenos Aires,Mujer,71.0,Dominicana,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2022-01-03,Buenos Aires,Mujer,43.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,17.0,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,26.0,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,39.0,,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,18.0,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,17.0,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Buenos Aires,Mujer,25.0,Boliviana,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,31.0,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Buenos Aires,Mujer,36.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,26.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,37.0,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,41.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,33.0,Colombiana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,,Mujer,24.0,Paraguaya,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,,80.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-03,Ciudad Autónoma de Buenos Aires,Mujer,47.0,,No,No,Si,No,No,Si,No,No,No,No,No,Si,Ex pareja,Varon
2022-01-04,Buenos Aires,Mujer,37.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-04,Tucumán,Mujer,32.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-04,Buenos Aires,Mujer,,,Si,No,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2022-01-04,Mendoza,Mujer,41.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-04,Buenos Aires,Mujer,,,Si,No,No,No,No,Si,No,No,No,No,No,No,Pareja,
2022-01-04,Catamarca,Mujer,60.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-04,Buenos Aires,Mujer,31.0,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-04,Buenos Aires,Mujer,28.0,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
